Pool ID,AlphaCode,NumericCode,Lat,Long,HH,P1 (max),P2,P3,Mean pool depth,Deeper than recorded
RU23,RU,23,43.47101798,-79.78849199,24,0.512,0.374,0.279,0.388,
RU24,RU,24,43.47065697,-79.78845402,7,0.812,0.783,0.474,0.69,
RU25,RU,25,43.47039303,-79.78758398,10,0.783,0.608,0.382,0.591,
RU26,RU,26,43.46990101,-79.786654,5,1.162,0.663,1.061,0.962,
RU29,RU,29,43.46657096,-79.78803098,5,0.525,0.429,0.512,0.489,
RU32,RU,32,43.46683298,-79.78234998,10,0.443,0.301,0.335,0.36,
RU36,RU,36,43.46138299,-79.77758302,9,0.784,0.542,0.444,0.59,
RU39,RU,39,43.46086197,-79.77418802,9,0.622,0.3,0.335,0.419,
RU40,RU,40,43.46080002,-79.77367496,4,0.788,0.734,0.642,0.721,
RU42,RU,42,43.46180904,-79.77000302,6,0.716,0.476,0.419,0.537,
RU43,RU,43,43.46199302,-79.76866803,5,0.642,0.513,0.518,0.558,
RU44,RU,44,43.46028797,-79.76843803,4,1.04,0.391,0.709,0.713,
RU45,RU,45,43.45932397,-79.76809496,11,0.716,0.447,0.3,0.488,
RU47,RU,47,43.458955,-79.76587904,15,0.509,0.385,0.308,0.401,
RU48,RU,48,43.45921299,-79.76487103,11,0.63,0.325,0.473,0.476,
RU49,RU,49,43.45986896,-79.763686,10,0.75,0.443,0.543,0.579,
RU50,RU,50,43.46122499,-79.76213199,12,0.932,0.296,0.93,0.719,
RU52,RU,52,43.46099901,-79.75978799,11,0.782,0.662,0.628,0.691,
RU54,RU,54,43.46100898,-79.758208,4,0.483,0.311,0.439,0.411,
RU55,RU,55,43.46107696,-79.75738398,5,1.04,0.346,0.393,0.593,
RU56,RU,56,43.461371,-79.75703001,19,0.859,0.336,0.743,0.646,
RU57a,RU,57a,43.46151701,-79.75540501,5,0.481,0.446,0.362,0.43,
RU57b,RU,57b,43.46148198,-79.75504601,51,0.604,0.364,0.364,0.444,
RU58,RU,58,43.46124,-79.75498097,10,0.899,0.573,0.827,0.766,
RU59,RU,59,43.46074504,-79.75329797,55,0.663,0.446,0.416,0.508,
